address,power,count
0x0,60,127
0x1,43,96
0x2,71,157
0x3,8,16
0x4,45,112
0x5,23,51
0x6,95,194
0x7,41,92
0x8,24,58
0x9,36,78
0xa,82,180
0xb,54,121
0xc,30,68
0xd,41,88
0xe,3,10
0xf,34,69
0x10,42,82
0x11,49,95
0x12,16,40
0x13,65,121
0x14,50,107
0x15,32,66
0x16,45,112
0x17,33,77
0x18,15,31
0x19,79,185
0x1a,2,9
0x1b,70,130
0x1c,56,130
0x1d,65,134
0x1e,10,24
0x1f,97,221
0x20,25,66
0x21,62,120
0x22,6,15
0x23,64,124
0x24,39,88
0x25,94,203
0x26,75,161
0x27,88,174
0x28,40,85
0x29,24,55
0x2a,76,160
0x2b,18,42
0x2c,10,22
0x2d,33,77
0x2e,31,79
0x2f,42,89
0x30,11,21
0x31,90,211
0x32,50,116
0x33,55,124
0x34,57,131
0x35,56,128
0x36,56,123
0x37,11,30
0x38,72,134
0x39,26,54
0x3a,65,138
0x3b,11,25
0x3c,33,66
0x3d,24,42
0x3e,48,94
0x3f,77,171
0x40,37,84
0x41,50,109
0x42,34,68
0x43,51,124
0x44,6,14
0x45,96,201
0x46,42,90
0x47,30,70
0x48,79,173
0x49,14,23
0x4a,19,35
0x4b,28,53
0x4c,8,16
0x4d,55,119
0x4e,57,145
0x4f,52,106
0x50,99,222
0x51,93,179
0x52,45,106
0x53,20,46
0x54,41,86
0x55,95,195
0x56,53,118
0x57,64,133
0x58,60,129
0x59,11,21
0x5a,97,197
0x5b,21,48
0x5c,45,107
0x5d,17,27
0x5e,25,71
0x5f,16,21
0x60,75,161
0x61,79,162
0x62,46,116
0x63,78,176
